as_of_date,index_name,index_code,ticker,yahoo_ticker,name_cn,name_en,exchange,exchange_cn,weight_pct
2026-06-04,CSI 500,000905,002500,002500.SZ,山西证券,Shanxi Securities Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.106
2026-06-04,CSI 500,000905,002508,002508.SZ,老板电器,Hangzhou Robam Appliances Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.078
2026-06-04,CSI 500,000905,002517,002517.SZ,恺英网络,Taiya Shoes Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.26
2026-06-04,CSI 500,000905,002532,002532.SZ,天山铝业,"TIANSHAN ALUMINUM GROUP CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.395
2026-06-04,CSI 500,000905,002558,002558.SZ,巨人网络,"Giant Network Group Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.335
2026-06-04,CSI 500,000905,002568,002568.SZ,百润股份,"SHANGHAI BAIRUN INVESTMENT HOLDING GROUP CO.,LTD.",Shenzhen Stock Exchange,深圳证券交易所,0.098
2026-06-04,CSI 500,000905,002583,002583.SZ,海能达,Hytera Communications Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.087
2026-06-04,CSI 500,000905,002595,002595.SZ,豪迈科技,Shandong Himile Mechanical Science & Technology Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.288
2026-06-04,CSI 500,000905,002603,002603.SZ,以岭药业,Shijiazhuang Yiling Pharmaceutical Co Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.129
2026-06-04,CSI 500,000905,002607,002607.SZ,中公教育,"Offcn Education Technology Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.113
2026-06-04,CSI 500,000905,002608,002608.SZ,江苏国信,Sainty Marine Corporation Ltd,Shenzhen Stock Exchange,深圳证券交易所,0.066
2026-06-04,CSI 500,000905,002624,002624.SZ,完美世界,"Perfect World Co., Ltd.",Shenzhen Stock Exchange,深圳证券交易所,0.181
